LDGS_NM,CTPRVN_NM,GUGUN_NM,CFR_LDGS_LIST_CN,ONE_QUARTER_AVRG_PRC,TWO_QUARTER_AVRG_PRC,GSRM_CO,PRKPLCE_EXST_AT,RSTRNT_EXST_AT,BAR_AT,CAFE_HOLD_AT,FITNES_CNTER_AT,OUTDOOR_POOL_AT,SPA_AT,SAUNA_AT,BNQTHL_AT,BSINES_CNTER_AT,BEACH_AT
이비스 버젯 앰배서더 부산 해운대,부산,해운대구,"베스트웨스턴 해운대 호텔, 페어필드 바이 메리어트 부산, 이비스 앰배서더 부산 해운대, 펠릭스 바이 STX 호텔 & 스위트, 신라스테이 해운대, 코오롱 씨클라우드 호텔, 리베로호텔 (구 호텔리베라해운대), 제이비디자인호텔, 토요코인부산해운대2, 라마다 앙코르 해운대, 베스트 루이스 해밀턴 해운대, 해운대 더반호텔 스마트, 엘리시아 호텔, 해운대 썬클라우드 호텔, 그랜드 조선 부산, 유에이치스위트해운대, 광수 호텔, 하운드가든&테라스호텔, 해운대 베이몬드 호텔, 코오롱 씨클라우드 (호텔), 신라스테이 해운대 (호텔), 라마다 앙코르 해운대 (호텔), 해운대 씨클라우드 호텔 앤 레지던스, 해운대 썬클라우드 호텔, 캔버스 호스텔",82966,96191,177,Y,Y,Y,Y,N,N,N,N,Y,Y,Y
이비스 앰배서더 부산 해운대,부산,해운대구,"베니키아 호텔 해운대, 베스트웨스턴 해운대 호텔, 페어필드 바이 메리어트 부산, 이비스 버젯 앰배서더 부산 해운대, 펠릭스 바이 STX 호텔 & 스위트, 신라스테이 해운대, 코오롱 씨클라우드 호텔, 리베로호텔 (구 호텔리베라해운대), 제이비디자인호텔, 토요코인부산해운대2, 호텔롯데 시그니엘 부산, 그랜드 엘시티 레지던스, 엘시티 레지던스, 라마다 앙코르 해운대, 베스트 루이스 해밀턴 해운대, 해운대 더반호텔 스마트, 엘리시아 호텔, 해운대 썬클라우드 호텔, 해운대 영무파라드호텔, 그랜드 조선 부산, 엘시티 레지던스 와이컬렉션, 유에이치스위트해운대, 광수 호텔, 하운드가든&테라스호텔, 해운대 베이몬드 호텔, 코오롱 씨클라우드 (호텔), 신라스테이 해운대 (호텔), 라마다 앙코르 해운대 (호텔), 해운대 씨클라우드 호텔 앤 레지던스, 해운대 썬클라우드 호텔, 캔버스 호스텔",89017,99763,237,Y,Y,Y,N,Y,N,N,N,Y,Y,Y
라발스 호텔 부산,부산,영도구,"스탠포드 인 부산, 베이하운드호텔, 부산관광호텔, 브로시스 호텔, 타워힐 호텔, 호텔 포레 프리미어 남포, 커넥트 부산 호텔, 센트럴파크 호텔 부산, 더하운드호텔, 남포 스테이웰 호텔, 호텔 아델라, 그리핀베이, 어반스테이 부티크 521",169171,191862,379,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
펠릭스 바이 STX 호텔 & 스위트,부산,해운대구,"베니키아 호텔 해운대, 베스트웨스턴 해운대 호텔, 페어필드 바이 메리어트 부산, 이비스 버젯 앰배서더 부산 해운대, 이비스 앰배서더 부산 해운대, 신라스테이 해운대, 코오롱 씨클라우드 호텔, 리베로호텔 (구 호텔리베라해운대), 제이비디자인호텔, 토요코인부산해운대2, 호텔롯데 시그니엘 부산, 그랜드 엘시티 레지던스, 엘시티 레지던스, 라마다 앙코르 해운대, 베스트 루이스 해밀턴 해운대, 해운대 더반호텔 스마트, 엘리시아 호텔, 해운대 썬클라우드 호텔, 해운대 영무파라드호텔, 그랜드 조선 부산, 엘시티 레지던스 와이컬렉션, 유에이치스위트해운대, 광수 호텔, 하운드가든&테라스호텔, 해운대 베이몬드 호텔, 코오롱 씨클라우드 (호텔), 신라스테이 해운대 (호텔), 라마다 앙코르 해운대 (호텔), 해운대 씨클라우드 호텔 앤 레지던스, 해운대 썬클라우드 호텔, 캔버스 호스텔",182993,203227,468,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
신라스테이 해운대,부산,해운대구,"베니키아 호텔 해운대, 베스트웨스턴 해운대 호텔, 페어필드 바이 메리어트 부산, 이비스 버젯 앰배서더 부산 해운대, 이비스 앰배서더 부산 해운대, 펠릭스 바이 STX 호텔 & 스위트, 코오롱 씨클라우드 호텔, 리베로호텔 (구 호텔리베라해운대), 제이비디자인호텔, 토요코인부산해운대2, 호텔롯데 시그니엘 부산, 그랜드 엘시티 레지던스, 엘시티 레지던스, 라마다 앙코르 해운대, 베스트 루이스 해밀턴 해운대, 해운대 더반호텔 스마트, 엘리시아 호텔, 해운대 썬클라우드 호텔, 해운대 영무파라드호텔, 그랜드 조선 부산, 엘시티 레지던스 와이컬렉션, 유에이치스위트해운대, 광수 호텔, 하운드가든&테라스호텔, 해운대 베이몬드 호텔, 코오롱 씨클라우드 (호텔), 신라스테이 해운대 (호텔), 라마다 앙코르 해운대 (호텔), 해운대 씨클라우드 호텔 앤 레지던스, 해운대 썬클라우드 호텔, 캔버스 호스텔",204032,243081,407,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y
코오롱 씨클라우드 호텔,부산,해운대구,"베니키아 호텔 해운대, 베스트웨스턴 해운대 호텔, 페어필드 바이 메리어트 부산, 이비스 버젯 앰배서더 부산 해운대, 이비스 앰배서더 부산 해운대, 펠릭스 바이 STX 호텔 & 스위트, 신라스테이 해운대, 리베로호텔 (구 호텔리베라해운대), 제이비디자인호텔, 토요코인부산해운대2, 호텔롯데 시그니엘 부산, 미포오션사이드호텔, 그랜드 엘시티 레지던스, 엘시티 레지던스, 라마다 앙코르 해운대, 베스트 루이스 해밀턴 해운대, 해운대 더반호텔 스마트, 엘리시아 호텔, 해운대 썬클라우드 호텔, 해운대 영무파라드호텔, 그랜드 조선 부산, 엘시티 레지던스 와이컬렉션, 유에이치스위트해운대, 광수 호텔, 하운드가든&테라스호텔, 해운대 베이몬드 호텔, 코오롱 씨클라우드 (호텔), 신라스테이 해운대 (호텔), 라마다 앙코르 해운대 (호텔), 해운대 씨클라우드 호텔 앤 레지던스, 해운대 썬클라우드 호텔, 캔버스 호스텔",209987,256861,223,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y
아바니 센트럴 부산,부산,남구,"솔라리아 니시테츠 부산, 사우스반데코 호텔, 부산 라메르 호텔, 부산 서면 넘버25 서면1번가점, 부산 범천동 하운드 서면 범천, 부산 서면 사우스반데코 호텔, 시티호텔 지앤지, 호텔 J7",196096,226433,289,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
롯데 호텔 서울,서울,중구,"웨스틴 조선호텔 서울, 더 플라자 서울 오토그래프 컬렉션, 포시즌스 호텔 서울, 호텔 토마스 명동, 트레블로지 명동 시티홀 호텔, 호텔 미드시티 명동, 나인트리 호텔 명동, 호텔 그레이스리 서울, 뉴국제 호텔, 센터마크호텔, 신라스테이광화문, 호텔쿠레타케소, 메트로호텔, 프레지던트호텔, 서울프린스호텔, 뉴서울호텔, 세종호텔, 퍼시픽호텔, 로얄호텔서울, 코리아나호텔, 이비스 앰배서더 명동, 호텔 스카이파크3, 스타즈호텔 명동2호점, 이비스 스타일 앰배서더 서울 명동, 트레블로지 명동 을지로 호텔, 호텔 크레토, 24게스트하우스 명동타운점, 솔라리아 니시테츠 호텔 서울 명동, 호텔 스카이파크 센트럴 명동점, 크라운파크 호텔, 소테츠호텔즈 더 스프라지르 서울 명동, 롯데시티호텔명동, L7명동, 호텔스카이파크명동Ⅱ, 알로프트서울명동호텔, 나인트리 프리미어호텔 명동2, 레스케이프 호텔, 밀리오레 서울 명동, 라마다호텔앤스위트서울남대문, ena 스위트 호텔 남대문, 헨나호텔 서울명동, 포포인츠 바이 쉐라톤 조선 서울 명동, 스탠포드 호텔 명동, 호텔 스카이파크 명동 1호점, 사보이호텔, moxy 명동, L7 명동, 호텔28 명동, 라인 호텔 명동, 이코노미 프리미어 명동",486624,612682,737,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N
그랜드 하얏트 서울,서울,용산구,"해밀톤호텔, 에이원호텔, 임피리얼팰리스 부띠끄 호텔",500888,620742,615,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
웨스틴 조선호텔 서울,서울,중구,"롯데 호텔 서울, 더 플라자 서울 오토그래프 컬렉션, 포시즌스 호텔 서울, 호텔 토마스 명동, 트레블로지 명동 시티홀 호텔, 호텔 미드시티 명동, 나인트리 호텔 명동, 호텔 그레이스리 서울, 뉴국제 호텔, 센터마크호텔, 신라스테이광화문, 메트로호텔, 프레지던트호텔, 서울프린스호텔, 뉴서울호텔, 세종호텔, 퍼시픽호텔, 로얄호텔서울, 코리아나호텔, 이비스 앰배서더 명동, 호텔 스카이파크3, 호텔마누, 프레이저플레이스남대문, 스타즈호텔 명동2호점, 이비스 스타일 앰배서더 서울 명동, 트레블로지 명동 을지로 호텔, 호텔 크레토, 24게스트하우스 명동타운점, 솔라리아 니시테츠 호텔 서울 명동, 호텔 스카이파크 센트럴 명동점, 크라운파크 호텔, 소테츠호텔즈 더 스프라지르 서울 명동, 롯데시티호텔명동, L7명동, 호텔스카이파크명동Ⅱ, 알로프트서울명동호텔, 나인트리 프리미어호텔 명동2, 레스케이프 호텔, 밀리오레 서울 명동, 라마다호텔앤스위트서울남대문, ena 스위트 호텔 남대문, 헨나호텔 서울명동, 포포인츠 바이 쉐라톤 조선 서울 명동, 스탠포드 호텔 명동, 호텔 스카이파크 명동 1호점, 사보이호텔, moxy 명동, L7 명동, 호텔28 명동, 라인 호텔 명동, 이코노미 프리미어 명동",514969,565432,462,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
