LDGS_NM,CTPRVN_NM,GUGUN_NM,CFR_LDGS_LIST_CN,ONE_QUARTER_AVRG_PRC,TWO_QUARTER_AVRG_PRC,GSRM_CO,PRKPLCE_EXST_AT,RSTRNT_EXST_AT,BAR_AT,CAFE_HOLD_AT,FITNES_CNTER_AT,OUTDOOR_POOL_AT,SPA_AT,SAUNA_AT,BNQTHL_AT,BSINES_CNTER_AT,BEACH_AT
호텔 스카이파크3,서울,중구,"롯데 호텔 서울, 웨스틴 조선호텔 서울, 더 플라자 서울 오토그래프 컬렉션, 호텔 토마스 명동, 트레블로지 명동 시티홀 호텔, 호텔 미드시티 명동, 나인트리 호텔 명동, 호텔 그레이스리 서울, 메트로호텔, 프레지던트호텔, 서울프린스호텔, 호텔 PJ, 세종호텔, 퍼시픽호텔, 로얄호텔서울, 베스트웨스턴호텔국도, 이비스 앰배서더 명동, 스타즈호텔 명동2호점, 오리엔스 호텔 앤 레지던스, 이비스 스타일 앰배서더 서울 명동, 트레블로지 명동 을지로 호텔, 호텔 크레토, 24게스트하우스 명동타운점, 솔라리아 니시테츠 호텔 서울 명동, 호텔 스카이파크 센트럴 명동점, 크라운파크 호텔, 소테츠호텔즈 더 스프라지르 서울 명동, 롯데시티호텔명동, L7명동, 호텔스카이파크명동Ⅱ, 알로프트서울명동호텔, 나인트리 프리미어호텔 명동2, 디어스명동, 레스케이프 호텔, 밀리오레 서울 명동, 헨나호텔 서울명동, 포포인츠 바이 쉐라톤 조선 서울 명동, 스탠포드 호텔 명동, 호텔 스카이파크 명동 1호점, 사보이호텔, moxy 명동, L7 명동, 호텔28 명동, 부티끄호텔 영인, 어반스테이 명동, 라인 호텔 명동, 이코노미 프리미어 명동",118669,192411,136,N,N,N,N,N,N,N,N,Y,Y,N
호텔마누,서울,중구,"웨스틴 조선호텔 서울, 더 플라자 서울 오토그래프 컬렉션, 호텔 토마스 명동, 트레블로지 명동 시티홀 호텔, 호텔 그레이스리 서울, 퍼시픽호텔, 프레이저플레이스남대문, 24게스트하우스 명동타운점, 크라운파크 호텔, 소테츠호텔즈 더 스프라지르 서울 명동, 알로프트서울명동호텔, 레스케이프 호텔, 밀리오레 서울 명동, 라마다호텔앤스위트서울남대문, ena 스위트 호텔 남대문, 호텔 스카이파크 명동 1호점, 사보이호텔, moxy 명동, 이코노미 프리미어 명동",150915,202954,80,Y,N,Y,Y,Y,N,N,N,Y,Y,N
프레이저플레이스남대문,서울,중구,"웨스틴 조선호텔 서울, 더 플라자 서울 오토그래프 컬렉션, 호텔 토마스 명동, 트레블로지 명동 시티홀 호텔, 호텔 그레이스리 서울, 뉴국제 호텔, 프레지던트호텔, 뉴서울호텔, 코리아나호텔, 호텔마누, 24게스트하우스 명동타운점, 크라운파크 호텔, 소테츠호텔즈 더 스프라지르 서울 명동, 레스케이프 호텔, 라마다호텔앤스위트서울남대문, ena 스위트 호텔 남대문",220212,229233,252,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N
써미트호텔,서울,중구,"서울신라호텔, JW메리어트동대문스퀘어, 베이튼호텔, 소테츠호텔즈 더 스프라지르 서울 동대문, 호텔 더 디자이너스 동대문, 에이큐브 호텔, 트레블로지 동대문 호텔, 노보텔 앰배서더 서울 동대문 호텔, 나인트리 호텔 동대문, 라마다서울동대문, 호텔스카이파크 킹스타운 동대문",112127,163161,190,N,Y,Y,Y,Y,N,N,N,Y,Y,N
베이튼호텔,서울,중구,"서울신라호텔, JW메리어트동대문스퀘어, 호텔아트리움, 호텔 PJ, 베스트웨스턴호텔국도, 써미트호텔, 소테츠호텔즈 더 스프라지르 서울 동대문, 호텔 더 디자이너스 동대문, 에이큐브 호텔, 트레블로지 동대문 호텔, 노보텔 앰배서더 서울 동대문 호텔, 나인트리 호텔 동대문, 라마다서울동대문, 호텔스카이파크 킹스타운 동대문, 어반스테이 명동",134606,172854,164,Y,N,Y,N,N,N,N,N,N,Y,N
스타즈호텔 명동2호점,서울,중구,"롯데 호텔 서울, 웨스틴 조선호텔 서울, 나인트리 호텔 명동, 메트로호텔, 서울프린스호텔, 호텔 PJ, 세종호텔, 퍼시픽호텔, 로얄호텔서울, 베스트웨스턴호텔국도, 이비스 앰배서더 명동, 호텔 스카이파크3, 오리엔스 호텔 앤 레지던스, 이비스 스타일 앰배서더 서울 명동, 트레블로지 명동 을지로 호텔, 호텔 크레토, 솔라리아 니시테츠 호텔 서울 명동, 호텔 스카이파크 센트럴 명동점, 크라운파크 호텔, 롯데시티호텔명동, L7명동, 호텔스카이파크명동Ⅱ, 알로프트서울명동호텔, 나인트리 프리미어호텔 명동2, 디어스명동, 밀리오레 서울 명동, 헨나호텔 서울명동, 종로 pop2, 종로 호텔팝 리즈 프리미어, 종로 pop3, 포포인츠 바이 쉐라톤 조선 서울 명동, 스탠포드 호텔 명동, 호텔 스카이파크 명동 1호점, 사보이호텔, moxy 명동, L7 명동, 호텔28 명동, 부티끄호텔 영인, 어반스테이 명동, 라인 호텔 명동, 이코노미 프리미어 명동",81785,128945,174,N,N,Y,N,N,N,N,N,Y,Y,N
오리엔스 호텔 앤 레지던스,서울,중구,"나인트리 호텔 명동, 메트로호텔, 서울프린스호텔, 호텔 PJ, 세종호텔, 퍼시픽호텔, 로얄호텔서울, 베스트웨스턴호텔국도, 이비스 앰배서더 명동, 호텔 스카이파크3, 스타즈호텔 명동2호점, 이비스 스타일 앰배서더 서울 명동, 트레블로지 명동 을지로 호텔, 호텔 크레토, 솔라리아 니시테츠 호텔 서울 명동, 호텔 스카이파크 센트럴 명동점, 크라운파크 호텔, 롯데시티호텔명동, L7명동, 호텔스카이파크명동Ⅱ, 알로프트서울명동호텔, 나인트리 프리미어호텔 명동2, 디어스명동, 밀리오레 서울 명동, 헨나호텔 서울명동, 포포인츠 바이 쉐라톤 조선 서울 명동, 스탠포드 호텔 명동, 호텔 스카이파크 명동 1호점, 사보이호텔, moxy 명동, L7 명동, 호텔28 명동, 부티끄호텔 영인, 어반스테이 명동, 라인 호텔 명동, 이코노미 프리미어 명동",140226,194178,116,Y,N,N,Y,Y,N,N,N,N,N,N
이비스 스타일 앰배서더 서울 명동,서울,중구,"롯데 호텔 서울, 웨스틴 조선호텔 서울, 호텔 토마스 명동, 호텔 미드시티 명동, 나인트리 호텔 명동, 메트로호텔, 프레지던트호텔, 서울프린스호텔, 호텔 PJ, 세종호텔, 퍼시픽호텔, 로얄호텔서울, 베스트웨스턴호텔국도, 이비스 앰배서더 명동, 호텔 스카이파크3, 스타즈호텔 명동2호점, 오리엔스 호텔 앤 레지던스, 트레블로지 명동 을지로 호텔, 호텔 크레토, 24게스트하우스 명동타운점, 솔라리아 니시테츠 호텔 서울 명동, 호텔 스카이파크 센트럴 명동점, 크라운파크 호텔, 소테츠호텔즈 더 스프라지르 서울 명동, 롯데시티호텔명동, L7명동, 호텔스카이파크명동Ⅱ, 알로프트서울명동호텔, 나인트리 프리미어호텔 명동2, 디어스명동, 레스케이프 호텔, 밀리오레 서울 명동, 헨나호텔 서울명동, 포포인츠 바이 쉐라톤 조선 서울 명동, 스탠포드 호텔 명동, 호텔 스카이파크 명동 1호점, 사보이호텔, moxy 명동, L7 명동, 호텔28 명동, 부티끄호텔 영인, 어반스테이 명동, 라인 호텔 명동, 이코노미 프리미어 명동",118231,161306,180,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N
트레블로지 명동 을지로 호텔,서울,중구,"롯데 호텔 서울, 웨스틴 조선호텔 서울, 호텔 미드시티 명동, 나인트리 호텔 명동, 센터마크호텔, 호텔이비스앰배서더인사동, 신라스테이광화문, 호텔아트리움, 호텔쿠레타케소, 목시 서울 인사동 호텔, 메트로호텔, 프레지던트호텔, 서울프린스호텔, 뉴서울호텔, 호텔 PJ, 세종호텔, 퍼시픽호텔, 로얄호텔서울, 베스트웨스턴호텔국도, 이비스 앰배서더 명동, 호텔 스카이파크3, 스타즈호텔 명동2호점, 오리엔스 호텔 앤 레지던스, 이비스 스타일 앰배서더 서울 명동, 호텔 크레토, 솔라리아 니시테츠 호텔 서울 명동, 호텔 스카이파크 센트럴 명동점, 크라운파크 호텔, 롯데시티호텔명동, L7명동, 호텔스카이파크명동Ⅱ, 알로프트서울명동호텔, 나인트리 프리미어호텔 명동2, 디어스명동, 밀리오레 서울 명동, 헨나호텔 서울명동, 종로 pop2, 종로 호텔팝 리즈 프리미어, 종로 pop3, 포포인츠 바이 쉐라톤 조선 서울 명동, 스탠포드 호텔 명동, 호텔 스카이파크 명동 1호점, 사보이호텔, moxy 명동, L7 명동, 호텔28 명동, 어반스테이 명동, 라인 호텔 명동, 이코노미 프리미어 명동",130124,202309,224,N,Y,Y,Y,Y,N,N,N,Y,Y,N
소테츠호텔즈 더 스프라지르 서울 동대문,서울,중구,"서울신라호텔, 바티카호텔(VATICAHOTEL), JW메리어트동대문스퀘어, 써미트호텔, 베이튼호텔, 호텔 더 디자이너스 동대문, 에이큐브 호텔, 트레블로지 동대문 호텔, 노보텔 앰배서더 서울 동대문 호텔, 나인트리 호텔 동대문, 라마다서울동대문, 호텔스카이파크 킹스타운 동대문",157745,234566,215,N,Y,N,N,Y,N,N,N,Y,Y,N
춘천세종관광호텔,강원,춘천시,없음,79385,79003,63,Y,Y,Y,Y,N,N,N,N,N,N,N
춘천베어스관광호텔,강원,춘천시,없음,97979,111790,78,Y,Y,Y,Y,N,N,N,N,Y,N,N
베니키아 호텔 비즈인,강원,원주시,없음,126244,134379,65,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N
더 홍씨 강릉,강원,강릉시,없음,115910,124372,45,Y,N,N,N,N,N,N,N,N,Y,N
호텔이스트나인,강원,강릉시,"부티크 호텔 봄봄, 강릉 씨티호텔",120989,122123,54,Y,N,Y,N,N,N,N,N,Y,Y,N
뉴동해관광호텔,강원,동해시,없음,105044,101600,63,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
동해보양온천컨벤션호텔,강원,동해시,없음,127837,136318,60,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
동해현진관광호텔,강원,동해시,없음,104429,98755,82,Y,Y,Y,Y,N,N,N,N,Y,Y,N
켄싱턴호텔 설악,강원,속초시,없음,195251,185494,109,Y,Y,Y,Y,N,N,N,N,Y,Y,N
마레몬스관광호텔,강원,속초시,"베니키아 호텔 산과바다 대포항, 베니키아호텔 산과바다 속초, 라마다 속초 호텔",138609,152114,148,Y,N,Y,N,Y,N,Y,Y,Y,Y,N
베니키아 호텔 산과바다 대포항,강원,속초시,"마레몬스관광호텔, 베니키아호텔 산과바다 속초, 라마다 속초 호텔",87314,100307,63,Y,N,Y,Y,N,N,N,N,N,N,N
더클래스 300,강원,속초시,"호텔굿모닝, 속초 컨피네스 비치 호텔, 어반스테이 속초해변, 리센 오션파크 속초, 속초 호텔 더 블루테라",100722,105416,306,Y,Y,N,N,N,N,N,N,Y,N,N
롯데리조트 속초,강원,속초시,"베니키아호텔 산과바다 속초, 라마다 속초 호텔",375428,411685,392,Y,Y,Y,Y,Y,Y,N,N,Y,N,N
인터컨티넨탈알펜시아평창리조트,강원,평창군,없음,208749,181142,238,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N
한탄리버스파호텔,강원,철원군,없음,172837,232387,128,Y,Y,N,Y,N,N,Y,Y,N,N,N
쏠비치 호텔 양양,강원,양양군,없음,256375,240097,443,Y,Y,N,Y,N,Y,Y,Y,Y,N,N
베니키아호텔 산과바다 속초,강원,속초시,"마레몬스관광호텔, 베니키아 호텔 산과바다 대포항, 롯데리조트 속초, 라마다 속초 호텔",110441,104108,62,Y,N,N,N,N,N,N,N,Y,Y,N
호텔굿모닝,강원,속초시,"더클래스 300	, 속초 컨피네스 비치 호텔, 어반스테이 속초해변, 리센 오션파크 속초, 마리나베이 속초, 속초 호텔 더 블루테라",94996,101416,88,Y,N,N,N,N,N,N,N,N,N,N
호텔 스카이파크,경기,연수구,"쉐라톤 그랜드 인천, 오라카이송도파크호텔, 오크우드프리미어인천호텔, 송도센트럴파크호텔, 경원재엠베서더호텔",81252,94884,144,Y,Y,N,N,Y,N,N,N,Y,Y,N
메이더호텔,제주,제주시,없음,50694,62194,53,Y,Y,Y,Y,N,Y,N,N,Y,Y,N
라마다프라자제주호텔,제주,제주시,"라마다프라자제주, 제주 리젠트마린 더 블루, 휘슬락, 오션 스위츠 제주 호텔",194209,243414,400,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N
오션그랜드호텔,제주,제주시,라마다제주함덕,93748,96703,74,Y,Y,Y,Y,N,N,N,N,Y,Y,N
엠버시티호텔(구.아이비호텔),제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 어반스테이 제주연동",100432,78848,50,N,N,Y,Y,N,N,N,N,N,N,N
엠버호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",96904,100881,67,N,Y,N,Y,N,N,N,N,N,Y,N
롯데시티호텔 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",159906,184097,255,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
그라벨호텔,제주,제주시,없음,137810,157521,139,Y,Y,Y,Y,N,Y,N,N,Y,Y,N
아이진호텔,제주,제주시,"신라스테이제주, 호텔더원, 어반아일랜드호텔, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",115171,108323,75,Y,Y,Y,Y,N,N,N,N,Y,Y,N
아스타호텔,제주,제주시,알리바호텔,96779,105350,130,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N
신라스테이제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",130910,152108,301,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
베니키아호텔제주(구. 뉴베니키아호텔제주),제주,제주시,"올레리조트, 수앤수리조트(구.수앤수가족호텔)",96537,88096,188,Y,Y,Y,Y,N,Y,N,N,Y,Y,N
호텔더원,제주,제주시,"엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 어반아일랜드호텔, 그랜드하얏트 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",80969,102705,180,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
탐라스테이,제주,제주시,없음,103197,133900,116,Y,N,N,N,N,N,N,N,N,N,N
어반아일랜드호텔,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 호텔 시리우스, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",67153,86798,70,Y,Y,Y,Y,N,N,N,N,N,Y,N
호텔 시리우스,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",118831,134684,280,Y,Y,Y,Y,Y,Y,N,N,Y,N,N
그랜드하얏트 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 어반스테이 제주연동",450143,462907,750,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N
다인리조트,제주,제주시,"올레리조트, 수앤수리조트(구.수앤수가족호텔)",114866,123583,91,Y,Y,Y,Y,N,Y,N,N,Y,Y,N
올레리조트,제주,제주시,"베니키아호텔제주(구. 뉴베니키아호텔제주), 다인리조트, 수앤수리조트(구.수앤수가족호텔)",240625,240786,53,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N
베스트웨스턴 제주호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 그랜드하얏트 제주, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",92752,117626,363,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
에코그린리조트(구.에코패밀리호텔),제주,제주시,없음,337526,374804,104,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N
수앤수리조트(구.수앤수가족호텔),제주,제주시,"베니키아호텔제주(구. 뉴베니키아호텔제주), 다인리조트, 올레리조트",112439,113305,40,Y,Y,Y,Y,N,Y,N,N,Y,Y,N
호텔카리스,경기,계양구,없음,117110,109219,140,Y,N,Y,Y,N,N,N,N,Y,Y,N
아마레관광호텔,경기,계양구,보우(VOW)관광호텔,72488,78972,67,Y,N,N,N,N,N,N,N,N,N,N
파이호텔,경기,남동구,"인천 호텔 반월(구 아시아드), 골든 호텔",53409,70389,65,Y,N,N,N,N,N,N,N,N,N,N
폴로(POLO)관광호텔,경기,남동구,"인천 파크마린 호텔, 라마다 인천",104892,94376,50,Y,Y,N,Y,N,N,Y,Y,N,N,N
호텔 더 디자이너스 인천,경기,남동구,"엠플레이스호텔, 호텔베이204",111079,102382,103,Y,N,Y,N,N,N,N,N,N,N,N
엠플레이스호텔,경기,남동구,"호텔 더 디자이너스 인천, 호텔베이204",77346,82287,66,Y,N,N,N,N,N,N,N,N,N,N
인천 호텔 반월(구 아시아드),경기,남동구,"파이호텔, 골든 호텔",70634,81308,76,Y,Y,Y,Y,N,N,N,N,Y,Y,N
인천 파크마린 호텔,경기,남동구,"폴로(POLO)관광호텔, 라마다 인천",128075,148713,88,Y,Y,N,Y,Y,Y,N,N,Y,Y,N
호텔베이204,경기,남동구,"호텔 더 디자이너스 인천, 엠플레이스호텔",114609,110781,91,Y,N,N,Y,N,N,N,N,N,N,N
토요코인인천부평,경기,부평구,인천 부평 호텔 세븐스텝,69670,74671,512,Y,N,Y,N,N,N,N,N,Y,Y,N
인천 호텔소프라,경기,서구,없음,81606,83578,172,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
호텔 원티드,경기,서구,없음,94059,96265,91,Y,Y,N,Y,N,N,N,N,Y,Y,N
호텔498,경기,연수구,없음,105263,109549,70,Y,Y,Y,N,N,N,N,N,Y,Y,N
베스트웨스턴 하버파크,경기,중구,없음,123753,135690,213,Y,Y,N,Y,Y,N,N,N,Y,Y,N
W호텔 인천,경기,중구,"베니키아 월미도 더 블리스 호텔, 블루마린호텔, 호텔 그랜드 스위트",85973,90265,40,Y,N,N,N,N,N,N,N,N,N,N
베니키아 월미도 더 블리스 호텔,경기,중구,"W호텔 인천, 블루마린호텔, 호텔 그랜드 스위트",94173,92790,88,Y,Y,Y,Y,N,N,N,N,Y,Y,N
블루마린호텔,경기,중구,"W호텔 인천, 베니키아 월미도 더 블리스 호텔, 호텔 그랜드 스위트",91819,98477,51,Y,N,N,N,N,N,N,N,N,N,N
호텔 그랜드 스위트,경기,중구,"W호텔 인천, 베니키아 월미도 더 블리스 호텔, 블루마린호텔",108763,119240,66,Y,N,N,N,N,N,N,N,N,N,N
인천 파크우드,경기,중구,네스트호텔(NEST HOTEL),90806,87275,52,Y,Y,Y,N,N,N,N,N,Y,Y,Y
레이관광호텔,경기,중구,"더프린스 호텔, 더 위크앤 리조트, 연화문호텔",116188,122705,30,Y,N,N,N,N,N,N,N,N,N,Y
인천프린스관광호텔,경기,중구,없음,79666,87528,31,Y,Y,N,Y,N,N,N,N,N,N,N
더프린스 호텔,경기,중구,"레이관광호텔, 더 위크앤 리조트, 연화문호텔",147473,154925,41,Y,N,N,N,N,N,N,N,N,N,Y
쉐라톤 그랜드 인천,경기,연수구,"호텔 스카이파크, 오라카이송도파크호텔, 오크우드프리미어인천호텔, 송도센트럴파크호텔, 경원재엠베서더호텔, 호텔 스카이파크",369207,369873,321,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
오라카이송도파크호텔,경기,연수구,"호텔 스카이파크, 쉐라톤 그랜드 인천, 오크우드프리미어인천호텔, 송도센트럴파크호텔, 경원재엠베서더호텔, 호텔 스카이파크",171464,203814,275,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
호텔시애틀 인천공항,경기,중구,"호텔 준, 제우메스관광호텔",80628,83532,43,Y,Y,N,N,N,N,N,N,N,N,N
그랜드하얏트 인천,경기,중구,베스트웨스턴 인천에어포트,339822,345799,1024,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
베스트웨스턴 인천에어포트,경기,중구,그랜드하얏트 인천,109770,124341,305,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
호텔 준,경기,중구,"호텔시애틀 인천공항, 제우메스관광호텔",69887,68546,48,Y,N,N,N,N,N,N,Y,N,Y,N
제우메스관광호텔,경기,중구,"호텔시애틀 인천공항, 호텔 준",75182,78525,60,Y,N,Y,Y,N,N,N,N,Y,Y,N
오크우드프리미어인천호텔,경기,연수구,"호텔 스카이파크, 쉐라톤 그랜드 인천, 오라카이송도파크호텔, 송도센트럴파크호텔, 경원재엠베서더호텔, 호텔 스카이파크",342266,347687,423,Y,Y,Y,Y,Y,N,N,N,Y,N,N
송도센트럴파크호텔,경기,연수구,"호텔 스카이파크, 쉐라톤 그랜드 인천, 오라카이송도파크호텔, 오크우드프리미어인천호텔, 경원재엠베서더호텔, 호텔 스카이파크",120335,145292,300,Y,Y,Y,Y,N,N,N,N,Y,Y,N
네스트호텔(NEST HOTEL),경기,중구,인천 파크우드,244285,260295,370,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
경원재엠베서더호텔,경기,연수구,"호텔 스카이파크, 쉐라톤 그랜드 인천, 오라카이송도파크호텔, 오크우드프리미어인천호텔, 송도센트럴파크호텔, 호텔 스카이파크",436243,485017,30,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
호텔 스카이파크,경기,연수구,"쉐라톤 그랜드 인천, 오라카이송도파크호텔, 오크우드프리미어인천호텔, 송도센트럴파크호텔, 경원재엠베서더호텔",113669,117187,241,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
소노캄 고양,경기,고양시,없음,231683,243793,826,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
라까사호텔 광명,경기,광명시,없음,153198,172089,194,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
광명 제이에스부티크호텔,경기,광명시,없음,98615,109007,88,Y,N,Y,Y,N,N,N,N,N,N,N
김포 아리수호텔,경기,김포시,"레스트호텔, 펜타스타호텔, 아셈호텔",97379,95333,66,Y,N,N,N,N,N,N,N,N,N,N
레스트호텔,경기,김포시,"김포 아리수호텔, 펜타스타호텔, 아셈호텔",99514,102052,70,Y,Y,Y,N,Y,N,N,N,Y,Y,N
펜타스타호텔,경기,김포시,"김포 아리수호텔, 레스트호텔, 아셈호텔",83831,83950,100,Y,N,N,Y,Y,N,N,N,Y,Y,N
아셈호텔,경기,김포시,"김포 아리수호텔, 레스트호텔, 펜타스타호텔",109223,127148,73,N,N,N,N,Y,N,N,N,N,N,N
골드관광호텔,경기,남양주시,없음,62560,69801,48,Y,N,N,N,N,N,N,N,N,N,N
호텔더메이,경기,남양주시,없음,92017,98002,125,Y,Y,N,Y,Y,N,N,N,Y,N,N
제이디관광호텔,경기,남양주시,없음,75459,72609,72,Y,Y,N,N,N,N,N,N,N,N,N
리젠시호텔,경기,성남시,"서머셋센트럴분당, 카인드호텔",93753,102618,56,Y,Y,N,N,N,N,N,N,N,N,N
성남 바인호텔,경기,성남시,없음,113258,116560,66,Y,N,Y,Y,N,N,N,N,N,Y,N
코트야드 바이 메리어트 서울 판교,경기,성남시,서울 그래비티 판교,295089,339608,282,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
성남 밀리토피아,경기,성남시,호텔야자 관광호텔,129717,141363,176,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N
호텔야자 관광호텔,경기,성남시,성남 밀리토피아,83004,94135,35,Y,N,N,N,N,N,N,N,N,N,N
서머셋센트럴분당,경기,성남시,"리젠시호텔, 카인드호텔",182523,201771,206,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N
카인드호텔,경기,성남시,"리젠시호텔, 서머셋센트럴분당",146696,170562,92,Y,Y,Y,Y,Y,N,N,N,N,Y,N
서울 그래비티 판교,경기,성남시,코트야드 바이 메리어트 서울 판교,232743,263340,306,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N
랜드마크호텔,경기,수원시,"심포니관광호텔, 아모르관광호텔",132004,145879,106,Y,Y,Y,N,N,N,N,N,Y,Y,N
이비스앰배서더수원,경기,수원시,"실크로드호텔, 타소스호텔, 호텔 아르떼, 호텔리츠, 수원 호텔 가덴",150241,157589,215,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N
실크로드호텔,경기,수원시,"이비스앰배서더수원, 타소스호텔, 호텔 아르떼",114219,120689,130,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
심포니관광호텔,경기,수원시,"랜드마크호텔, 아모르관광호텔",105860,107724,64,Y,Y,Y,Y,N,N,N,N,Y,Y,N
아모르관광호텔,경기,수원시,"랜드마크호텔, 심포니관광호텔",103496,105782,128,Y,Y,Y,Y,N,N,N,N,Y,Y,N
라마다 프라자 수원,경기,수원시,없음,185249,208777,287,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
